Configuration: Ma_P,T,R,IDM,LP
Duration: 0.150
Config ID: 8
Measurement: Ma_P,T,R,IDM,LP
Comment: 02.02.03_05
Export finished: 05/18/2017   14:34:07
Measurement ID: 11111
Result: NOK 
Date: 05/12/2017   15:35:27
    Index      Time  P-Ref+      Time  Plasma  Error      Time  P-Ref-      Time   P-Raw      Time  T-Ref+      Time    Temp  Error      Time  T-Ref-      Time   T-Raw      Time  R-Ref+      Time    Refl  Error      Time  R-Ref-      Time   R-Raw      Time    IDM+      Time     IDM  Error      Time    IDM-      Time   L-Raw      Time  LP-Raw      Time     LP+      Time   Power  Error      Time     LP-
        0  0.000000   0.121  0.000000   0.005      0  0.000000   0.000  0.000000   0.874  0.000000   0.344  0.000000   0.012      0  0.000000   0.000  0.000000   2.152  0.000000   0.457  0.000000   0.022      0  0.000000   0.000  0.000000   3.962  0.000000   0.594  0.000000   0.017      0  0.000000   0.000  0.000000   3.049  0.000000   2.750  0.000000   0.152  0.000000   0.004      0  0.000000   0.000
        1  0.000025   0.187  0.000025   0.029      0  0.000025   0.000  0.000025   1.996  0.000025   0.471  0.000025   0.063      0  0.000025   0.000  0.000025   3.323  0.000025   0.632  0.000025   0.108      0  0.000025   0.000  0.000025   4.556  0.000025   0.819  0.000025   0.081      0  0.000025   0.000  0.000025   3.049  0.000025   2.972  0.000025   0.220  0.000025   0.020      0  0.000025   0.000
        2  0.000050   0.263  0.000050   0.091      0  0.000050   0.000  0.000050   2.827  0.000050   0.604  0.000050   0.168      0  0.000050   0.000  0.000050   2.902  0.000050   0.817  0.000050   0.273      0  0.000050   0.000  0.000050   4.597  0.000050   1.055  0.000050   0.198      0  0.000050   0.000  0.000050   3.048  0.000050   2.936  0.000050   0.296  0.000050   0.051      0  0.000050   0.000
        3  0.000075   0.347  0.000075   0.200      0  0.000075   0.000  0.000075   3.544  0.000075   0.736  0.000075   0.316      0  0.000075   0.000  0.000075   3.017  0.000075   1.004  0.000075   0.499      0  0.000075   0.000  0.000075   4.405  0.000075   1.295  0.000075   0.355      0  0.000075   0.000  0.000075   3.049  0.000075   3.409  0.000075   0.381  0.000075   0.097      0  0.000075   0.000
        4  0.000100   0.436  0.000100   0.359      0  0.000100   0.000  0.000100   3.729  0.000100   0.863  0.000100   0.489      0  0.000100   0.000  0.000100   2.346  0.000100   1.189  0.000100   0.764      0  0.000100   0.000  0.000100   3.587  0.000100   1.533  0.000100   0.540      0  0.000100   0.000  0.000100   3.049  0.000100   3.180  0.000100   0.472  0.000100   0.156      0  0.000100   0.000
        5  0.000125   0.532  0.000125   0.559      0  0.000125   0.000  0.000125   3.558  0.000125   0.986  0.000125   0.670      0  0.000125   0.000  0.000125   1.747  0.000125   1.368  0.000125   1.040      0  0.000125   0.000  0.000125   3.066  0.000125   1.764  0.000125   0.744      0  0.000125   0.000  0.000125   3.050  0.000125   3.000  0.000125   0.569  0.000125   0.226      0  0.000125   0.000
        6  0.000150   0.631  0.000150   0.785      0  0.000150   0.008  0.000150   3.348  0.000150   1.101  0.000150   0.841      0  0.000150   0.034  0.000150   1.613  0.000150   1.538  0.000150   1.309      0  0.000150   0.055  0.000150   3.120  0.000150   1.984  0.000150   0.958      0  0.000150   0.073  0.000150   3.048  0.000150   2.920  0.000150   0.670  0.000150   0.306      0  0.000150   0.017
        7  0.000175   0.730  0.000175   1.024      0  0.000175   0.023  0.000175   3.235  0.000175   1.209  0.000175   0.996      0  0.000175   0.085  0.000175   1.705  0.000175   1.697  0.000175   1.565      0  0.000175   0.136  0.000175   3.213  0.000175   2.191  0.000175   1.177      0  0.000175   0.178  0.000175   3.049  0.000175   2.938  0.000175   0.774  0.000175   0.392      0  0.000175   0.045
        8  0.000200   0.826  0.000200   1.264      0  0.000200   0.047  0.000200   3.164  0.000200   1.306  0.000200   1.136      0  0.000200   0.152  0.000200   1.762  0.000200   1.841  0.000200   1.805      0  0.000200   0.245  0.000200   3.164  0.000200   2.382  0.000200   1.393      0  0.000200   0.319  0.000200   3.048  0.000200   2.932  0.000200   0.881  0.000200   0.484      0  0.000200   0.084
        9  0.000225   0.917  0.000225   1.499      0  0.000225   0.081  0.000225   3.085  0.000225   1.392  0.000225   1.261      0  0.000225   0.229  0.000225   1.639  0.000225   1.971  0.000225   2.028      0  0.000225   0.374  0.000225   3.037  0.000225   2.557  0.000225   1.603      0  0.000225   0.486  0.000225   3.049  0.000225   2.936  0.000225   0.989  0.000225   0.581      0  0.000225   0.135
